x_fwd_H0,y_fwd_H0,x_fwd_H1,y_fwd_H1,x_fwd_H2,y_fwd_H2,x_fwd_H3.5,y_fwd_H3.5,x_fwd_H5,y_fwd_H5,x_back_H0,y_back_H0,x_back_H1,y_back_H1,x_back_H2,y_back_H2,x_back_H3.5,y_back_H3.5,x_back_H5,y_back_H5
-1.5030434e-05,-2.5755005e-06,-1.4430251e-05,-4.9455546e-06,-1.32858e-05,-7.0900898e-06,-1.076139e-05,-9.5803645e-06,-7.6898555e-06,-1.0937386e-05,-7.5340996e-07,-1.290986e-07,-7.5259493e-07,-1.3519637e-07,-7.5170561e-07,-1.4128551e-07,-7.5023258e-07,-1.5040064e-07,-7.4859315e-07,-1.5949024e-07
-1.6231036e-05,-2.8945694e-06,-1.5532011e-05,-5.5470262e-06,-1.4203447e-05,-7.9274008e-06,-1.1295573e-05,-1.0627325e-05,-7.8101681e-06,-1.198747e-05,-8.1359088e-07,-1.4509213e-07,-8.1264027e-07,-1.5192935e-07,-8.1160318e-07,-1.5875613e-07,-8.098857e-07,-1.6897381e-07,-8.0797455e-07,-1.7916059e-07
-1.7478286e-05,-3.2396759e-06,-1.6668637e-05,-6.1956386e-06,-1.5135025e-05,-8.8256228e-06,-1.1805317e-05,-1.1734791e-05,-7.8764619e-06,-1.3072413e-05,-8.7611008e-07,-1.6239081e-07,-8.7500745e-07,-1.7002534e-07,-8.7380468e-07,-1.776473e-07,-8.7181319e-07,-1.8905322e-07,-8.6959755e-07,-2.00422e-07
-1.8772097e-05,-3.611935e-06,-1.7839136e-05,-6.8931547e-06,-1.607812e-05,-9.7863506e-06,-1.2286561e-05,-1.2902128e-05,-7.8855554e-06,-1.4188087e-05,-9.4096318e-07,-1.8105053e-07,-9.3969075e-07,-1.895424e-07,-9.3830298e-07,-1.9801925e-07,-9.3600557e-07,-2.1070226e-07,-9.3345008e-07,-2.2334092e-07
-2.0112359e-05,-4.0124695e-06,-1.9042461e-05,-7.6413263e-06,-1.7030236e-05,-1.0811095e-05,-1.2735271e-05,-1.4128447e-05,-7.8346475e-06,-1.5330085e-05,-1.0081447e-06,-2.0112757e-07,-1.0066833e-06,-2.10539e-07,-1.0050897e-06,-2.199326e-07,-1.002452e-06,-2.3398468e-07,-9.9951865e-07,-2.4798412e-07
-2.149894e-05,-4.4424098e-06,-2.0277506e-05,-8.4418922e-06,-1.7988799e-05,-1.1901277e-05,-1.3147461e-05,-1.5412599e-05,-7.7213412e-06,-1.6493766e-05,-1.0776479e-06,-2.226786e-07,-1.075977e-06,-2.3307398e-07,-1.0741553e-06,-2.4344832e-07,-1.0711405e-06,-2.5896459e-07,-1.0677883e-06,-2.7441871e-07
-2.2931684e-05,-4.9028933e-06,-2.1543114e-05,-9.2965772e-06,-1.8951162e-05,-1.3058229e-05,-1.3519202e-05,-1.6753182e-05,-7.543664e-06,-1.7674288e-05,-1.1494651e-06,-2.4576062e-07,-1.1475627e-06,-2.5720654e-07,-1.1454888e-06,-2.6862773e-07,-1.1420573e-06,-2.8570639e-07,-1.1382427e-06,-3.0271207e-07
-2.4410413e-05,-5.3950646e-06,-2.2838069e-05,-1.0207091e-05,-1.9914604e-05,-1.4283187e-05,-1.3846646e-05,-1.8148543e-05,-7.3000848e-06,-1.8866652e-05,-1.2235873e-06,-2.7043101e-07,-1.2214298e-06,-2.8299619e-07,-1.2190781e-06,-2.9553247e-07,-1.2151878e-06,-3.142748e-07,-1.2108638e-06,-3.3293185e-07
-2.5934926e-05,-5.9200745e-06,-2.41611e-05,-1.1175125e-05,-2.0876339e-05,-1.557729e-05,-1.4126038e-05,-1.9596785e-05,-6.9895253e-06,-2.0065742e-05,-1.3000045e-06,-2.9674746e-07,-1.2975666e-06,-3.1050279e-07,-1.2949098e-06,-3.2422448e-07,-1.2905155e-06,-3.447348e-07,-1.2856324e-06,-3.6514593e-07
-2.7504996e-05,-6.47908e-06,-2.5510882e-05,-1.2202354e-05,-2.1833511e-05,-1.6941577e-05,-1.4353731e-05,-2.1095774e-05,-6.6113701e-06,-2.1266367e-05,-1.3787052e-06,-3.2476795e-07,-1.3759602e-06,-3.3978645e-07,-1.3729692e-06,-3.5476599e-07,-1.3680229e-06,-3.7715163e-07,-1.3625276e-06,-3.994224e-07
-2.9120374e-05,-7.0732435e-06,-2.6886032e-05,-1.3290432e-05,-2.2783208e-05,-1.8376985e-05,-1.4526203e-05,-2.2643143e-05,-6.1654706e-06,-2.2463307e-05,-1.459677e-06,-3.5455076e-07,-1.4565963e-06,-3.7090759e-07,-1.45324e-06,-3.8721945e-07,-1.4476908e-06,-4.1159073e-07,-1.4415268e-06,-4.3582954e-07
-3.0780784e-05,-7.7037329e-06,-2.8285115e-05,-1.444099e-05,-2.3722456e-05,-1.9884342e-05,-1.4640072e-05,-2.4236304e-05,-5.6521452e-06,-2.3651355e-05,-1.5429061e-06,-3.8615443e-07,-1.5394595e-06,-4.0392683e-07,-1.535705e-06,-4.2164756e-07,-1.5294986e-06,-4.4811776e-07,-1.5226061e-06,-4.7443577e-07
-3.2485928e-05,-8.3717205e-06,-2.9706636e-05,-1.565564e-05,-2.464823e-05,-2.1464371e-05,-1.4692108e-05,-2.5872454e-05,-5.0721763e-06,-2.482536e-05,-1.6283776e-06,-4.1963772e-07,-1.6245328e-06,-4.3890507e-07,-1.6203453e-06,-4.5811324e-07,-1.6134244e-06,-4.8679854e-07,-1.6057399e-06,-5.1530962e-07
-3.4235482e-05,-9.0783833e-06,-3.1149048e-05,-1.6935966e-05,-2.5557453e-05,-2.3117682e-05,-1.4679247e-05,-2.7548589e-05,-4.4268028e-06,-2.5980271e-05,-1.716075e-06,-4.5505963e-07,-1.7117981e-06,-4.7590336e-07,-1.7071408e-06,-4.9667956e-07,-1.6994446e-06,-5.2769901e-07,-1.6909012e-06,-5.5851974e-07
-3.6029095e-05,-9.8249019e-06,-3.2610749e-05,-1.8283527e-05,-2.6447002e-05,-2.4844773e-05,-1.4598606e-05,-2.926151e-05,-3.7177075e-06,-2.711118e-05,-1.805981e-06,-4.9247934e-07,-1.801236e-06,-5.1498295e-07,-1.7960698e-06,-5.3740976e-07,-1.7875343e-06,-5.7088525e-07,-1.7780611e-06,-6.0413482e-07
-3.7866393e-05,-1.061246e-05,-3.4090082e-05,-1.9699857e-05,-2.7313711e-05,-2.6646027e-05,-1.4447492e-05,-3.1007838e-05,-2.9470018e-06,-2.8213358e-05,-1.8980767e-06,-5.3195621e-07,-1.8928257e-06,-5.5620525e-07,-1.8871095e-06,-5.8036721e-07,-1.877667e-06,-6.1642343e-07,-1.8671894e-06,-6.5222358e-07
-3.9746973e-05,-1.1442246e-05,-3.5585333e-05,-2.1186459e-05,-2.8154378e-05,-2.852171e-05,-1.4223415e-05,-3.2784027e-05,-2.1172073e-06,-2.9282302e-05,-1.992342e-06,-5.7354974e-07,-1.986545e-06,-5.9963178e-07,-1.9802354e-06,-6.2561538e-07,-1.9698146e-06,-6.6437974e-07,-1.9582541e-06,-7.0285476e-07
-4.1670408e-05,-1.2315448e-05,-3.7094736e-05,-2.2744805e-05,-2.8965765e-05,-3.0471968e-05,-1.3924099e-05,-3.4586376e-05,-1.2312315e-06,-3.0313764e-05,-2.0887554e-06,-6.1731956e-07,-2.0823703e-06,-6.4532417e-07,-2.0754217e-06,-6.7321781e-07,-2.0639477e-06,-7.1482044e-07,-2.0512214e-06,-7.5609705e-07
-4.3636245e-05,-1.3233259e-05,-3.8616471e-05,-2.4376337e-05,-2.9744605e-05,-3.2496827e-05,-1.354749e-05,-3.6411041e-05,-2.9234236e-07,-3.1303791e-05,-2.1872942e-06,-6.6332539e-07,-2.1802767e-06,-6.9334412e-07,-2.1726411e-06,-7.232381e-07,-2.160035e-06,-7.6781175e-07,-2.1460563e-06,-8.1201908e-07
-4.5644001e-05,-1.419687e-05,-4.0148663e-05,-2.6082464e-05,-3.0487605e-05,-3.4596191e-05,-1.3091763e-05,-3.8254053e-05,6.9586104e-07,-3.2248755e-05,-2.2879342e-06,-7.1162704e-07,-2.2802378e-06,-7.4375338e-07,-2.2718648e-06,-7.7573985e-07,-2.2580441e-06,-8.234199e-07,-2.2427217e-06,-8.7068939e-07
-4.7693169e-05,-1.5207477e-05,-4.1689386e-05,-2.7864557e-05,-3.1191452e-05,-3.6769839e-05,-1.2555335e-05,-4.0111333e-05,1.7294814e-06,-3.3145383e-05,-2.3906501e-06,-7.6228434e-07,-2.382226e-06,-7.9661373e-07,-2.3730628e-06,-8.3078669e-07,-2.3579406e-06,-8.8171104e-07,-2.341179e-06,-9.3217641e-07
-4.9783213e-05,-1.6266274e-05,-4.3236658e-05,-2.9723954e-05,-3.1852815e-05,-3.9017428e-05,-1.1936865e-05,-4.1978704e-05,2.8043581e-06,-3.3990781e-05,-2.4954149e-06,-8.1535719e-07,-2.4862119e-06,-8.5198695e-07,-2.4762032e-06,-8.8844218e-07,-2.4596887e-06,-9.4275122e-07,-2.4413879e-06,-9.9654836e-07
-5.1913571e-05,-1.7374454e-05,-4.4788448e-05,-3.1661954e-05,-3.2468351e-05,-4.1338487e-05,-1.1235264e-05,-4.3851908e-05,3.9161037e-06,-3.478246e-05,-2.6022004e-06,-8.7090544e-07,-2.5921651e-06,-9.099348e-07,-2.5812528e-06,-9.4876985e-07,-2.5632509e-06,-1.0066064e-06,-2.5433065e-06,-1.0638733e-06
