theta_deg,dW_LT,dW_WNL,dW_UR,dW_H0,dW_H1,dW_H2,dW_H3.5,dW_H5,dW_s0.3,dW_s0.5,dW_s0.7,dW_s1.0,dW_s1.4,dW_s2.0
0.11015143,0.99331717,0.0021022126,4.534847e-08,0.0021022126,2.127458e-11,0.0021028958,0.07999703,0.3045486,0.0018578946,0.0020478727,0.002082884,0.0021022126,0.0021120035,0.0021172949
0.11197342,0.99331718,0.0021022274,4.5380751e-08,0.0021022274,2.18515e-11,0.0021029106,0.079997116,0.30454871,0.0018579082,0.0020478873,0.0020828987,0.0021022274,0.0021120183,0.0021173098
0.11382554,0.99331719,0.0021022428,4.5414132e-08,0.0021022428,2.2464427e-11,0.0021029259,0.079997204,0.30454883,0.0018579222,0.0020479023,0.0020829139,0.0021022428,0.0021120337,0.0021173252
0.1157083,0.99331721,0.0021022586,4.5448654e-08,0.0021022586,2.3116259e-11,0.0021029416,0.079997296,0.30454896,0.0018579366,0.0020479178,0.0020829296,0.0021022586,0.0021120496,0.0021173411
0.11762221,0.99331722,0.002102275,4.5484356e-08,0.002102275,2.3810185e-11,0.0021029579,0.07999739,0.30454908,0.0018579516,0.0020479339,0.0020829459,0.002102275,0.002112066,0.0021173575
0.11956777,0.99331723,0.0021022919,4.5521278e-08,0.0021022919,2.4549722e-11,0.0021029748,0.079997488,0.30454922,0.001857967,0.0020479505,0.0020829626,0.0021022919,0.002112083,0.0021173745
0.12154551,0.99331724,0.0021023094,4.5559465e-08,0.0021023094,2.5338751e-11,0.0021029922,0.079997589,0.30454935,0.001857983,0.0020479676,0.0020829799,0.0021023094,0.0021121005,0.0021173921
0.12355596,0.99331726,0.0021023275,4.5598959e-08,0.0021023275,2.6181569e-11,0.0021030102,0.079997694,0.30454949,0.0018579995,0.0020479853,0.0020829978,0.0021023275,0.0021121187,0.0021174102
0.12559967,0.99331727,0.0021023462,4.5639808e-08,0.0021023462,2.7082937e-11,0.0021030288,0.079997802,0.30454964,0.0018580166,0.0020480037,0.0020830163,0.0021023462,0.0021121374,0.002117429
0.12767718,0.99331728,0.0021023655,4.5682059e-08,0.0021023655,2.8048141e-11,0.002103048,0.079997913,0.30454979,0.0018580342,0.0020480226,0.0020830355,0.0021023655,0.0021121567,0.0021174483
0.12978906,0.9933173,0.0021023854,4.5725761e-08,0.0021023854,2.9083066e-11,0.0021030678,0.079998028,0.30454995,0.0018580524,0.0020480421,0.0020830552,0.0021023854,0.0021121767,0.0021174684
0.13193587,0.99331731,0.002102406,4.5770966e-08,0.002102406,3.0194269e-11,0.0021030884,0.079998147,0.30455011,0.0018580712,0.0020480623,0.0020830756,0.002102406,0.0021121974,0.002117489
0.13411819,0.99331733,0.0021024273,4.5817727e-08,0.0021024273,3.1389079e-11,0.0021031096,0.079998271,0.30455027,0.0018580907,0.0020480832,0.0020830967,0.0021024273,0.0021122187,0.0021175104
0.1363366,0.99331734,0.0021024493,4.58661e-08,0.0021024493,3.2675703e-11,0.0021031315,0.079998398,0.30455045,0.0018581108,0.0020481048,0.0020831186,0.0021024493,0.0021122408,0.0021175325
0.13859171,0.99331736,0.002102472,4.5916141e-08,0.002102472,3.406335e-11,0.0021031541,0.079998529,0.30455062,0.0018581315,0.0020481271,0.0020831411,0.002102472,0.0021122636,0.0021175553
0.14088413,0.99331737,0.0021024955,4.5967909e-08,0.0021024955,3.5562381e-11,0.0021031775,0.079998665,0.30455081,0.001858153,0.0020481501,0.0020831644,0.0021024955,0.0021122871,0.0021175789
0.14321445,0.99331739,0.0021025198,4.6021468e-08,0.0021025198,3.7184478e-11,0.0021032017,0.079998805,0.304551,0.0018581752,0.002048174,0.0020831884,0.0021025198,0.0021123115,0.0021176033
0.14558333,0.99331741,0.0021025449,4.6076881e-08,0.0021025449,3.894285e-11,0.0021032267,0.07999895,0.30455119,0.0018581981,0.0020481986,0.0020832133,0.0021025449,0.0021123366,0.0021176285
0.14799139,0.99331743,0.0021025708,4.6134214e-08,0.0021025708,4.0852469e-11,0.0021032525,0.0799991,0.3045514,0.0018582218,0.002048224,0.002083239,0.0021025708,0.0021123626,0.0021176545
0.15043928,0.99331745,0.0021025976,4.6193536e-08,0.0021025976,4.2930352e-11,0.0021032792,0.079999255,0.30455161,0.0018582463,0.0020482503,0.0020832656,0.0021025976,0.0021123895,0.0021176814
0.15292766,0.99331746,0.0021026253,4.6254919e-08,0.0021026253,4.5195896e-11,0.0021033068,0.079999415,0.30455182,0.0018582716,0.0020482774,0.002083293,0.0021026253,0.0021124172,0.0021177092
0.1554572,0.99331748,0.0021026539,4.6318438e-08,0.0021026539,4.7671275e-11,0.0021033353,0.07999958,0.30455205,0.0018582977,0.0020483055,0.0020833214,0.0021026539,0.0021124459,0.0021177379
0.15802857,0.99331751,0.0021026835,4.638417e-08,0.0021026835,5.0381919e-11,0.0021033647,0.079999751,0.30455228,0.0018583248,0.0020483345,0.0020833507,0.0021026835,0.0021124755,0.0021177676
0.16064249,0.99331753,0.002102714,4.6452195e-08,0.002102714,5.3357082e-11,0.0021033952,0.079999928,0.30455252,0.0018583527,0.0020483645,0.002083381,0.002102714,0.0021125062,0.0021177982
0.16329963,0.99331755,0.0021027456,4.6522597e-08,0.0021027456,5.6630533e-11,0.0021034266,0.08000011,0.30455276,0.0018583815,0.0020483955,0.0020834123,0.0021027456,0.0021125378,0.0021178299
0.16600073,0.99331757,0.0021027782,4.6595463e-08,0.0021027782,6.024139e-11,0.0021034591,0.080000299,0.30455302,0.0018584114,0.0020484275,0.0020834446,0.0021027782,0.0021125705,0.0021178627
0.16874651,0.99331759,0.0021028119,4.6670883e-08,0.0021028119,6.4235127e-11,0.0021034927,0.080000493,0.30455328,0.0018584422,0.0020484606,0.002083478,0.0021028119,0.0021126043,0.0021178965
0.1715377,0.99331762,0.0021028468,4.674895e-08,0.0021028468,6.866482e-11,0.0021035275,0.080000695,0.30455355,0.001858474,0.0020484948,0.0020835126,0.0021028468,0.0021126392,0.0021179315
0.17437507,0.99331764,0.0021028827,4.6829763e-08,0.0021028827,7.359266e-11,0.0021035633,0.080000903,0.30455384,0.0018585069,0.0020485301,0.0020835483,0.0021028827,0.0021126753,0.0021179676
0.17725936,0.99331767,0.0021029199,4.6913422e-08,0.0021029199,7.9091825e-11,0.0021036004,0.080001118,0.30455413,0.001858541,0.0020485666,0.0020835852,0.0021029199,0.0021127126,0.0021180049
0.18019137,0.9933177,0.0021029584,4.7000033e-08,0.0021029584,8.5248809e-11,0.0021036387,0.08000134,0.30455443,0.0018585761,0.0020486043,0.0020836233,0.0021029584,0.0021127511,0.0021180435
0.18317187,0.99331772,0.0021029981,4.7089706e-08,0.0021029981,9.2166314e-11,0.0021036783,0.080001569,0.30455474,0.0018586124,0.0020486433,0.0020836627,0.0021029981,0.0021127909,0.0021180834
0.18620167,0.99331775,0.0021030391,4.7182556e-08,0.0021030391,9.9966886e-11,0.0021037192,0.080001806,0.30455506,0.00185865,0.0020486836,0.0020837034,0.0021030391,0.0021128321,0.0021181246
0.18928158,0.99331778,0.0021030815,4.7278701e-08,0.0021030815,1.0879751e-10,0.0021037615,0.080002052,0.30455539,0.0018586888,0.0020487253,0.0020837454,0.0021030815,0.0021128746,0.0021181672
0.19241244,0.99331781,0.0021031254,4.7378265e-08,0.0021031254,1.1883543e-10,0.0021038052,0.080002305,0.30455573,0.0018587289,0.0020487683,0.0020837889,0.0021031254,0.0021129186,0.0021182111
0.19559509,0.99331784,0.0021031706,4.7481378e-08,0.0021031706,1.3029563e-10,0.0021038504,0.080002567,0.30455609,0.0018587703,0.0020488127,0.0020838338,0.0021031706,0.002112964,0.0021182566
0.19883038,0.99331787,0.0021032174,4.7588172e-08,0.0021032174,1.4344045e-10,0.002103897,0.080002837,0.30455645,0.0018588131,0.0020488587,0.0020838803,0.0021032174,0.0021130109,0.0021183036
0.20211919,0.99331791,0.0021032658,4.769879e-08,0.0021032658,1.5859206e-10,0.0021039453,0.080003117,0.30455683,0.0018588574,0.0020489062,0.0020839282,0.0021032658,0.0021130594,0.0021183521
0.20546239,0.99331794,0.0021033158,4.7813375e-08,0.0021033158,1.7614886e-10,0.0021039951,0.080003405,0.30455722,0.0018589031,0.0020489553,0.0020839778,0.0021033158,0.0021131095,0.0021184023
0.20886089,0.99331798,0.0021033674,4.7932081e-08,0.0021033674,1.9660707e-10,0.0021040466,0.080003704,0.30455763,0.0018589503,0.002049006,0.002084029,0.0021033674,0.0021131612,0.0021184542
0.21231561,0.99331801,0.0021034208,4.8055067e-08,0.0021034208,2.205896e-10,0.0021040998,0.080004012,0.30455804,0.0018589992,0.0020490584,0.002084082,0.0021034208,0.0021132147,0.0021185077
0.21582747,0.99331805,0.0021034759,4.8182497e-08,0.0021034759,2.4888486e-10,0.0021041548,0.080004331,0.30455847,0.0018590496,0.0020491126,0.0020841367,0.0021034759,0.00211327,0.0021185631
0.21939742,0.99331809,0.0021035329,4.8314543e-08,0.0021035329,2.8249955e-10,0.0021042117,0.08000466,0.30455892,0.0018591018,0.0020491685,0.0020841933,0.0021035329,0.0021133271,0.0021186203
0.22302642,0.99331813,0.0021035918,4.8451387e-08,0.0021035918,3.2273148e-10,0.0021042704,0.080005001,0.30455938,0.0018591557,0.0020492264,0.0020842517,0.0021035918,0.0021133862,0.0021186794
0.22671544,0.99331817,0.0021036526,4.8593217e-08,0.0021036526,3.7127078e-10,0.0021043311,0.080005352,0.30455986,0.0018592114,0.0020492861,0.0020843121,0.0021036526,0.0021134472,0.0021187405
0.23046549,0.99331821,0.0021037155,4.8740228e-08,0.0021037155,4.3034289e-10,0.0021043938,0.080005716,0.30456035,0.0018592689,0.0020493479,0.0020843745,0.0021037155,0.0021135102,0.0021188036
0.23427756,0.99331825,0.0021037805,4.8892625e-08,0.0021037805,5.0291316e-10,0.0021044586,0.080006091,0.30456086,0.0018593284,0.0020494117,0.002084439,0.0021037805,0.0021135754,0.0021188689
0.23815269,0.9933183,0.0021038476,4.9050624e-08,0.0021038476,5.9298413e-10,0.0021045256,0.080006479,0.30456138,0.0018593899,0.0020494777,0.0020845056,0.0021038476,0.0021136427,0.0021189363
0.24209191,0.99331835,0.002103917,4.9214447e-08,0.002103917,7.0603461e-10,0.0021045949,0.08000688,0.30456192,0.0018594534,0.0020495459,0.0020845745,0.002103917,0.0021137123,0.002119006
0.2460963,0.9933184,0.0021039887,4.938433e-08,0.0021039887,8.4968003e-10,0.0021046664,0.080007295,0.30456248,0.0018595191,0.0020496163,0.0020846456,0.0021039887,0.0021137842,0.0021190779
0.25016691,0.99331845,0.0021040628,4.9560516e-08,0.0021040628,1.0346851e-09,0.0021047403,0.080007723,0.30456306,0.0018595869,0.0020496891,0.0020847192,0.0021040628,0.0021138585,0.0021191523
0.25430486,0.9933185,0.0021041394,4.9743264e-08,0.0021041394,1.2765502e-09,0.0021048168,0.080008165,0.30456366,0.001859657,0.0020497644,0.0020847952,0.0021041394,0.0021139352,0.0021192292
