a0,H0,Q
10.717048,0,0.0012345727
10.904204,0,0.0012442108
11.094629,0,0.0012537523
11.288379,0,0.0012631971
11.485512,0,0.0012725448
11.686089,0,0.0012817955
11.890167,0,0.0012909489
12.09781,0,0.001300005
12.309079,0,0.0013089638
12.524038,0,0.0013178254
12.74275,0,0.0013265897
12.965282,0,0.001335257
13.1917,0,0.0013438273
13.422072,0,0.0013523009
13.656467,0,0.0013606779
13.894955,0,0.0013689586
14.137608,0,0.0013771432
14.384499,0,0.0013852322
14.635701,0,0.0013932258
14.89129,0,0.0014011244
15.151343,0,0.0014089283
15.415937,0,0.0014166381
15.685152,0,0.0014242542
15.959068,0,0.001431777
16.237767,0,0.001439207
16.521334,0,0.0014465447
16.809853,0,0.0014537907
17.10341,0,0.0014609456
17.402094,0,0.0014680098
17.705994,0,0.001474984
18.0152,0,0.0014818688
18.329807,0,0.0014886649
18.649908,0,0.0014953728
18.975599,0,0.0015019932
19.306977,0,0.0015085268
19.644143,0,0.0015149742
19.987196,0,0.0015213361
20.336241,0,0.0015276133
20.691381,0,0.0015338064
21.052723,0,0.0015399162
21.420375,0,0.0015459434
21.794448,0,0.0015518887
22.175053,0,0.0015577528
22.562305,0,0.0015635365
22.956319,0,0.0015692406
23.357215,0,0.0015748659
23.765111,0,0.001580413
24.180131,0,0.0015858827
24.602398,0,0.0015912759
25.03204,0,0.0015965933
25.469184,0,0.0016018357
25.913963,0,0.0016070038
26.366509,0,0.0016120984
26.826958,0,0.0016171204
27.295448,0,0.0016220704
27.772119,0,0.0016269494
28.257115,0,0.001631758
28.75058,0,0.0016364971
29.252663,0,0.0016411674
29.763514,0,0.0016457697
30.283287,0,0.0016503049
30.812136,0,0.0016547736
31.350221,0,0.0016591767
31.897702,0,0.0016635149
32.454745,0,0.001667789
33.021515,0,0.0016719998
33.598183,0,0.001676148
34.184921,0,0.0016802345
34.781907,0,0.0016842599
35.389317,0,0.001688225
36.007335,0,0.0016921306
36.636145,0,0.0016959774
37.275937,0,0.0016997662
37.926902,0,0.0017034977
38.589235,0,0.0017071726
39.263134,0,0.0017107917
39.948802,0,0.0017143557
40.646444,0,0.0017178653
41.356269,0,0.0017213212
42.07849,0,0.0017247241
42.813324,0,0.0017280748
43.56099,0,0.001731374
44.321713,0,0.0017346222
45.095721,0,0.0017378203
45.883246,0,0.0017409689
46.684524,0,0.0017440686
47.499794,0,0.0017471202
48.329302,0,0.0017501243
49.173296,0,0.0017530815
50.03203,0,0.0017559926
50.905759,0,0.0017588581
51.794747,0,0.0017616787
52.699259,0,0.001764455
53.619568,0,0.0017671876
54.555948,0,0.0017698773
55.50868,0,0.0017725244
56.478051,0,0.0017751298
57.46435,0,0.001777694
58.467873,0,0.0017802175
59.488921,0,0.001782701
60.5278,0,0.001785145
61.584821,0,0.0017875501
62.660302,0,0.001789917
63.754564,0,0.001792246
64.867935,0,0.0017945379
66.00075,0,0.001796793
67.153348,0,0.0017990121
68.326074,0,0.0018011956
69.51928,0,0.001803344
70.733323,0,0.0018054579
71.968567,0,0.0018075378
73.225383,0,0.0018095842
74.504148,0,0.0018115975
75.805244,0,0.0018135784
77.129061,0,0.0018155272
78.475997,0,0.0018174445
79.846455,0,0.0018193307
81.240846,0,0.0018211864
82.659587,0,0.0018230119
84.103105,0,0.0018248077
85.571831,0,0.0018265744
87.066207,0,0.0018283123
88.586679,0,0.0018300219
90.133704,0,0.0018317036
91.707745,0,0.0018333578
93.309274,0,0.001834985
94.938772,0,0.0018365856
96.596726,0,0.00183816
98.283633,0,0.0018397086
100,0,0.0018412318
0.1,0.007518797,1.6026257e-55
0.10174634,0.007518797,4.4315762e-54
0.10352318,0.007518797,1.108698e-52
0.10533104,0.007518797,2.5175761e-51
0.10717048,0.007518797,5.2048256e-50
0.10904204,0.007518797,9.8260695e-49
0.11094629,0.007518797,1.698857e-47
0.11288379,0.007518797,2.6974246e-46
0.11485512,0.007518797,3.943934e-45
0.11686089,0.007518797,5.3239226e-44
0.11890167,0.007518797,6.6520021e-43
0.1209781,0.007518797,7.7117406e-42
0.12309079,0.007518797,8.3149179e-41
0.12524038,0.007518797,8.3572156e-40
0.1274275,0.007518797,7.8473578e-39
0.12965282,0.007518797,6.8987797e-38
0.131917,0.007518797,5.6899247e-37
0.13422072,0.007518797,4.4115917e-36
0.13656467,0.007518797,3.2216582e-35
0.13894955,0.007518797,2.2200993e-34
0.14137608,0.007518797,1.4463088e-33
0.14384499,0.007518797,8.9229147e-33
0.14635701,0.007518797,5.2221109e-32
0.1489129,0.007518797,2.9039676e-31
0.15151343,0.007518797,1.5368565e-30
0.15415937,0.007518797,7.7524307e-30
0.15685152,0.007518797,3.7329406e-29
0.15959068,0.007518797,1.7182942e-28
0.16237767,0.007518797,7.5714958e-28
0.16521334,0.007518797,3.1980737e-27
0.16809853,0.007518797,1.2965339e-26
0.1710341,0.007518797,5.0514456e-26
0.17402094,0.007518797,1.8937121e-25
0.17705994,0.007518797,6.8389861e-25
0.180152,0.007518797,2.3820204e-24
0.18329807,0.007518797,8.0104288e-24
0.18649908,0.007518797,2.6036803e-23
0.18975599,0.007518797,8.1882547e-23
0.19306977,0.007518797,2.4940349e-22
0.19644143,0.007518797,7.3644955e-22
0.19987196,0.007518797,2.1101874e-21
0.20336241,0.007518797,5.8726187e-21
0.20691381,0.007518797,1.5887587e-20
0.21052723,0.007518797,4.1818629e-20
0.21420375,0.007518797,1.0718301e-19
0.21794448,0.007518797,2.6771554e-19
0.22175053,0.007518797,6.5215191e-19
0.22562305,0.007518797,1.5505185e-18
0.22956319,0.007518797,3.6005864e-18
0.23357215,0.007518797,8.1722701e-18
0.23765111,0.007518797,1.8141819e-17
0.24180131,0.007518797,3.9416105e-17
0.24602398,0.007518797,8.3868404e-17
0.2503204,0.007518797,1.7487316e-16
0.25469184,0.007518797,3.5752623e-16
0.25913963,0.007518797,7.1714056e-16
0.26366509,0.007518797,1.4120694e-15
0.26826958,0.007518797,2.7308593e-15
0.27295448,0.007518797,5.1899451e-15
0.27772119,0.007518797,9.6976816e-15
0.28257115,0.007518797,1.7824994e-14
0.2875058,0.007518797,3.2244456e-14
0.29252663,0.007518797,5.7430991e-14
0.29763514,0.007518797,1.0076235e-13
0.30283287,0.007518797,1.7422083e-13
0.30812136,0.007518797,2.969852e-13
0.31350221,0.007518797,4.9932118e-13
0.31897702,0.007518797,8.2833806e-13
0.32454745,0.007518797,1.3563893e-12
0.33021515,0.007518797,2.1931671e-12
0.33598183,0.007518797,3.5028881e-12
0.34184921,0.007518797,5.5284028e-12
0.34781907,0.007518797,8.6246011e-12
0.35389317,0.007518797,1.330414e-11
0.36007335,0.007518797,2.0299308e-11
0.36636145,0.007518797,3.0644757e-11
0.37275937,0.007518797,4.5786929e-11
0.37926902,0.007518797,6.7727195e-11
0.38589235,0.007518797,9.9207147e-11
0.39263134,0.007518797,1.4394595e-10
0.39948802,0.007518797,2.0694134e-10
0.40646444,0.007518797,2.9484766e-10
0.41356269,0.007518797,4.164459e-10
0.4207849,0.007518797,5.8322297e-10
0.42813324,0.007518797,8.1007873e-10
0.4356099,0.007518797,1.1161816e-09
0.44321713,0.007518797,1.5259944e-09
0.45095721,0.007518797,2.0704946e-09
0.45883246,0.007518797,2.7886125e-09
0.46684524,0.007518797,3.7289132e-09
0.47499794,0.007518797,4.9515477e-09
0.48329302,0.007518797,6.5304976e-09
0.49173296,0.007518797,8.5561382e-09
0.5003203,0.007518797,1.1138142e-08
0.50905759,0.007518797,1.4408743e-08
0.51794747,0.007518797,1.8526381e-08
0.52699259,0.007518797,2.3679732e-08
0.53619568,0.007518797,3.009215e-08
0.54555948,0.007518797,3.8026503e-08
0.5550868,0.007518797,4.7790422e-08
0.56478051,0.007518797,5.9741938e-08
0.5746435,0.007518797,7.429551e-08
0.58467873,0.007518797,9.1928405e-08
0.59488921,0.007518797,1.1318741e-07
0.605278,0.007518797,1.3869586e-07
0.61584821,0.007518797,1.6916086e-07
0.62660302,0.007518797,2.053808e-07
0.63754564,0.007518797,2.4825294e-07
0.64867935,0.007518797,2.9878109e-07
0.6600075,0.007518797,3.5808331e-07
0.67153348,0.007518797,4.2739959e-07
0.68326074,0.007518797,5.0809929e-07
0.6951928,0.007518797,6.0168845e-07
0.70733323,0.007518797,7.0981676e-07
0.71968567,0.007518797,8.3428414e-07
0.73225383,0.007518797,9.7704684e-07
0.74504148,0.007518797,1.140223e-06
0.75805244,0.007518797,1.3260975e-06
0.77129061,0.007518797,1.5371263e-06
