x_oam_H0,y_oam_H0,x_oam_H1,y_oam_H1,x_mixed_H0,y_mixed_H0,x_mixed_H1,y_mixed_H1
0.34998607,-6.3049851e-06,0.3499893,-1.1014153e-05,-0.00010331501,-1.9369143e-05,-8.6769545e-05,-5.601121e-05
0.34998564,-6.6289552e-06,0.34998908,-1.1541897e-05,-0.00010651162,-2.0364401e-05,-8.8885232e-05,-5.8662415e-05
0.3499852,-6.9639963e-06,0.34998887,-1.2084778e-05,-0.00010974132,-2.139367e-05,-9.0983316e-05,-6.1387359e-05
0.34998476,-7.3102881e-06,0.34998866,-1.2642865e-05,-0.00011300281,-2.2457503e-05,-9.3061125e-05,-6.4186238e-05
0.34998432,-7.6680086e-06,0.34998846,-1.3216216e-05,-0.00011629479,-2.3556446e-05,-9.511595e-05,-6.705919e-05
0.34998387,-8.0373337e-06,0.34998827,-1.380488e-05,-0.0001196159,-2.469104e-05,-9.7145042e-05,-7.0006297e-05
0.34998342,-8.4184376e-06,0.34998809,-1.4408893e-05,-0.00012296475,-2.5861821e-05,-9.9145617e-05,-7.3027583e-05
0.34998296,-8.8114922e-06,0.34998791,-1.5028282e-05,-0.00012633993,-2.7069315e-05,-0.00010111485,-7.6123011e-05
0.34998251,-9.2166671e-06,0.34998774,-1.566306e-05,-0.00012973998,-2.8314046e-05,-0.00010304989,-7.9292486e-05
0.34998204,-9.6341296e-06,0.34998758,-1.6313232e-05,-0.00013316338,-2.9596525e-05,-0.00010494783,-8.2535849e-05
0.34998158,-1.0064045e-05,0.34998743,-1.6978788e-05,-0.00013660862,-3.0917261e-05,-0.00010680576,-8.585288e-05
0.34998111,-1.0506574e-05,0.34998729,-1.7659708e-05,-0.00014007412,-3.2276752e-05,-0.00010862072,-8.9243295e-05
0.34998064,-1.0961879e-05,0.34998716,-1.8355959e-05,-0.00014355828,-3.3675488e-05,-0.00011038972,-9.2706746e-05
0.34998017,-1.1430114e-05,0.34998704,-1.9067495e-05,-0.00014705944,-3.5113951e-05,-0.00011210975,-9.6242821e-05
0.3499797,-1.1911435e-05,0.34998693,-1.9794258e-05,-0.00015057594,-3.6592614e-05,-0.00011377776,-9.985104e-05
0.34997922,-1.2405991e-05,0.34998683,-2.0536177e-05,-0.00015410606,-3.8111939e-05,-0.00011539068,-0.00010353086
0.34997874,-1.2913931e-05,0.34998675,-2.129317e-05,-0.00015764805,-3.9672381e-05,-0.00011694542,-0.00010728166
0.34997826,-1.3435399e-05,0.34998668,-2.2065139e-05,-0.00016120012,-4.1274383e-05,-0.00011843886,-0.00011110276
0.34997778,-1.3970535e-05,0.34998662,-2.2851974e-05,-0.00016476044,-4.2918377e-05,-0.00011986786,-0.0001149934
0.3499773,-1.4519478e-05,0.34998658,-2.3653551e-05,-0.00016832717,-4.4604787e-05,-0.00012122925,-0.00011895278
0.34997682,-1.508236e-05,0.34998655,-2.4469733e-05,-0.0001718984,-4.6334022e-05,-0.00012251986,-0.00012297998
0.34997634,-1.5659313e-05,0.34998654,-2.530037e-05,-0.00017547222,-4.8106483e-05,-0.00012373648,-0.00012707405
0.34997586,-1.6250461e-05,0.34998654,-2.6145295e-05,-0.00017904665,-4.9922556e-05,-0.00012487591,-0.00013123395
0.34997538,-1.6855927e-05,0.34998656,-2.7004329e-05,-0.0001826197,-5.1782616e-05,-0.00012593492,-0.00013545857
0.3499749,-1.7475829e-05,0.3499866,-2.787728e-05,-0.00018618935,-5.3687025e-05,-0.00012691026,-0.00013974672
0.34997441,-1.811028e-05,0.34998665,-2.8763939e-05,-0.00018975351,-5.5636133e-05,-0.00012779869,-0.00014409714
0.34997393,-1.8759389e-05,0.34998672,-2.9664083e-05,-0.00019331011,-5.7630275e-05,-0.00012859695,-0.0001485085
0.34997346,-1.9423262e-05,0.34998681,-3.0577476e-05,-0.00019685699,-5.9669773e-05,-0.00012930176,-0.0001529794
0.34997298,-2.0101998e-05,0.34998692,-3.1503866e-05,-0.00020039201,-6.1754933e-05,-0.00012990986,-0.00015750833
0.34997251,-2.0795693e-05,0.34998705,-3.2442985e-05,-0.00020391296,-6.3886048e-05,-0.00013041796,-0.00016209375
0.34997203,-2.1504436e-05,0.3499872,-3.3394551e-05,-0.00020741761,-6.6063397e-05,-0.0001308228,-0.00016673402
0.34997156,-2.2228314e-05,0.34998737,-3.4358267e-05,-0.00021090371,-6.8287241e-05,-0.00013112109,-0.00017142741
0.3499711,-2.2967406e-05,0.34998756,-3.5333822e-05,-0.00021436897,-7.0557827e-05,-0.00013130955,-0.00017617214
0.34997063,-2.3721787e-05,0.34998777,-3.6320887e-05,-0.00021781105,-7.2875385e-05,-0.00013138492,-0.00018096634
0.34997017,-2.4491528e-05,0.349988,-3.7319119e-05,-0.00022122762,-7.5240128e-05,-0.00013134393,-0.00018580805
0.34996971,-2.5276691e-05,0.34998826,-3.832816e-05,-0.00022461628,-7.7652255e-05,-0.00013118331,-0.00019069524
0.34996926,-2.6077336e-05,0.34998854,-3.9347635e-05,-0.00022797463,-8.0111943e-05,-0.00013089983,-0.00019562582
0.34996881,-2.6893515e-05,0.34998884,-4.0377154e-05,-0.00023130023,-8.2619354e-05,-0.00013049024,-0.00020059759
0.34996837,-2.7725275e-05,0.34998917,-4.1416313e-05,-0.00023459062,-8.5174634e-05,-0.00012995133,-0.00020560829
0.34996793,-2.8572657e-05,0.34998952,-4.246469e-05,-0.00023784329,-8.7777906e-05,-0.00012927988,-0.00021065558
0.3499675,-2.9435695e-05,0.3499899,-4.3521848e-05,-0.00024105573,-9.0429277e-05,-0.00012847271,-0.00021573704
0.34996707,-3.0314418e-05,0.3499903,-4.4587334e-05,-0.0002442254,-9.3128834e-05,-0.00012752666,-0.00022085016
0.34996665,-3.1208848e-05,0.34999073,-4.5660679e-05,-0.00024734972,-9.5876646e-05,-0.00012643858,-0.00022599236
0.34996623,-3.2119001e-05,0.34999118,-4.67414e-05,-0.00025042609,-9.8672759e-05,-0.00012520535,-0.00023116099
0.34996583,-3.3044885e-05,0.34999167,-4.7828995e-05,-0.0002534519,-0.0001015172,-0.00012382387,-0.0002363533
0.34996542,-3.3986503e-05,0.34999218,-4.892295e-05,-0.00025642451,-0.00010440998,-0.00012229109,-0.00024156648
0.34996503,-3.494385e-05,0.34999272,-5.0022731e-05,-0.00025934124,-0.00010735109,-0.00012060398,-0.00024679763
0.34996465,-3.5916915e-05,0.34999329,-5.1127792e-05,-0.00026219942,-0.00011034047,-0.00011875953,-0.00025204378
0.34996427,-3.6905679e-05,0.34999388,-5.2237568e-05,-0.00026499633,-0.00011337809,-0.00011675479,-0.00025730188
0.3499639,-3.7910117e-05,0.34999451,-5.335148e-05,-0.00026772925,-0.00011646387,-0.00011458684,-0.0002625688
0.34996354,-3.8930196e-05,0.34999517,-5.4468934e-05,-0.00027039544,-0.00011959769,-0.00011225278,-0.00026784133
0.34996319,-3.9965875e-05,0.34999586,-5.5589319e-05,-0.00027299213,-0.00012277943,-0.00010974979,-0.00027311619
0.34996285,-4.1017106e-05,0.34999657,-5.6712009e-05,-0.00027551654,-0.00012600896,-0.00010707507,-0.00027839003
0.34996252,-4.2083835e-05,0.34999732,-5.7836361e-05,-0.00027796587,-0.0001292861,-0.00010422588,-0.0002836594
0.3499622,-4.3165998e-05,0.3499981,-5.896172e-05,-0.00028033732,-0.00013261064,-0.00010119952,-0.0002889208
0.34996189,-4.4263524e-05,0.34999892,-6.0087412e-05,-0.00028262805,-0.00013598239,-9.7993349e-05,-0.00029417065
0.34996159,-4.5376335e-05,0.34999976,-6.1212749e-05,-0.00028483523,-0.00013940109,-9.460478e-05,-0.00029940529
0.34996131,-4.6504343e-05,0.35000064,-6.233703e-05,-0.000286956,-0.00014286648,-9.1031284e-05,-0.00030462098
0.34996103,-4.7647454e-05,0.35000155,-6.3459536e-05,-0.00028898751,-0.00014637826,-8.7270392e-05,-0.00030981394
0.34996077,-4.8805564e-05,0.3500025,-6.4579535e-05,-0.00029092688,-0.00014993612,-8.3319696e-05,-0.00031498027
0.34996052,-4.9978563e-05,0.35000348,-6.5696279e-05,-0.00029277122,-0.00015353972,-7.9176853e-05,-0.00032011605
0.34996029,-5.116633e-05,0.35000449,-6.6809007e-05,-0.00029451766,-0.00015718868,-7.4839589e-05,-0.00032521725
0.34996007,-5.2368737e-05,0.35000554,-6.7916942e-05,-0.00029616329,-0.00016088262,-7.0305698e-05,-0.00033027981
0.34995986,-5.3585648e-05,0.35000662,-6.9019295e-05,-0.00029770522,-0.00016462111,-6.5573046e-05,-0.00033529956
0.34995966,-5.4816917e-05,0.35000774,-7.0115259e-05,-0.00029914053,-0.0001684037,-6.0639574e-05,-0.00034027229
0.34995948,-5.606239e-05,0.35000889,-7.1204018e-05,-0.00030046632,-0.00017222993,-5.55033e-05,-0.00034519374
0.34995932,-5.7321904e-05,0.35001008,-7.2284739e-05,-0.00030167968,-0.00017609929,-5.0162322e-05,-0.00035005955
0.34995917,-5.8595287e-05,0.35001131,-7.3356577e-05,-0.0003027777,-0.00018001126,-4.4614819e-05,-0.00035486531
0.34995904,-5.9882359e-05,0.35001257,-7.4418673e-05,-0.00030375746,-0.00018396527,-3.8859054e-05,-0.00035960657
0.34995892,-6.1182929e-05,0.35001387,-7.5470155e-05,-0.00030461606,-0.00018796074,-3.2893377e-05,-0.0003642788
0.34995883,-6.24968e-05,0.3500152,-7.6510141e-05,-0.00030535059,-0.00019199707,-2.6716228e-05,-0.00036887741
0.34995874,-6.3823762e-05,0.35001657,-7.7537732e-05,-0.00030595816,-0.00019607361,-2.0326138e-05,-0.00037339776
0.34995868,-6.51636e-05,0.35001798,-7.8552019e-05,-0.00030643586,-0.0002001897,-1.3721731e-05,-0.00037783516
0.34995863,-6.6516086e-05,0.35001942,-7.9552084e-05,-0.00030678081,-0.00020434464,-6.9017295e-06,-0.00038218486
0.3499586,-6.7880984e-05,0.3500209,-8.0536992e-05,-0.00030699013,-0.0002085377,1.350478e-07,-0.00038644205
0.34995859,-6.925805e-05,0.35002242,-8.15058e-05,-0.00030706095,-0.00021276814,7.3896792e-06,-0.00039060189
0.3499586,-7.0647029e-05,0.35002398,-8.2457554e-05,-0.00030699042,-0.00021703516,1.486314e-05,-0.00039465948
0.34995863,-7.2047657e-05,0.35002557,-8.3391288e-05,-0.00030677569,-0.00022133796,2.25563e-05,-0.00039860987
0.34995868,-7.345966e-05,0.3500272,-8.4306026e-05,-0.00030641393,-0.0002256757,3.0469921e-05,-0.00040244807
0.34995875,-7.4882755e-05,0.35002886,-8.5200784e-05,-0.00030590233,-0.0002300475,3.8604653e-05,-0.00040616905
0.34995884,-7.631665e-05,0.35003057,-8.6074565e-05,-0.00030523809,-0.00023445247,4.6961035e-05,-0.00040976772
0.34995895,-7.7761042e-05,0.35003231,-8.6926366e-05,-0.00030441844,-0.00023888968,5.553949e-05,-0.00041323899
0.34995908,-7.9215619e-05,0.35003409,-8.7755172e-05,-0.00030344061,-0.00024335816,6.4340323e-05,-0.0004165777
0.34995923,-8.068006e-05,0.3500359,-8.8559963e-05,-0.00030230188,-0.00024785694,7.3363721e-05,-0.00041977867
0.34995941,-8.2154033e-05,0.35003776,-8.9339708e-05,-0.00030099952,-0.00025238498,8.2609749e-05,-0.00042283668
0.34995961,-8.3637197e-05,0.35003965,-9.0093369e-05,-0.00029953087,-0.00025694125,9.2078348e-05,-0.00042574649
0.34995983,-8.5129202e-05,0.35004157,-9.0819902e-05,-0.00029789326,-0.00026152466,0.00010176933,-0.00042850282
0.34996007,-8.6629687e-05,0.35004353,-9.1518255e-05,-0.00029608405,-0.00026613411,0.00011168239,-0.00043110038
0.34996034,-8.8138281e-05,0.35004553,-9.2187369e-05,-0.00029410065,-0.00027076845,0.00012181707,-0.00043353384
0.34996063,-8.9654605e-05,0.35004757,-9.2826182e-05,-0.00029194049,-0.00027542653,0.00013217281,-0.00043579787
0.34996095,-9.117827e-05,0.35004964,-9.3433623e-05,-0.00028960103,-0.00028010713,0.00014274889,-0.0004378871
0.34996129,-9.2708875e-05,0.35005175,-9.4008617e-05,-0.00028707978,-0.00028480905,0.00015354446,-0.00043979616
0.34996165,-9.4246012e-05,0.35005389,-9.4550087e-05,-0.00028437428,-0.00028953101,0.00016455855,-0.00044151966
0.34996204,-9.5789262e-05,0.35005607,-9.5056949e-05,-0.00028148208,-0.00029427172,0.00017579003,-0.00044305221
0.34996246,-9.7338197e-05,0.35005828,-9.5528117e-05,-0.00027840082,-0.00029902989,0.00018723762,-0.0004443884
0.3499629,-9.8892378e-05,0.35006053,-9.5962501e-05,-0.00027512815,-0.00030380415,0.00019889993,-0.00044552282
0.34996336,-0.00010045136,0.35006281,-9.6359009e-05,-0.00027166177,-0.00030859313,0.00021077539,-0.00044645007
0.34996386,-0.00010201468,0.35006512,-9.6716548e-05,-0.00026799942,-0.00031339542,0.0002228623,-0.00044716474
0.34996438,-0.00010358188,0.35006747,-9.7034023e-05,-0.0002641389,-0.0003182096,0.00023515881,-0.00044766141
0.34996492,-0.00010515247,0.35006985,-9.7310338e-05,-0.00026007806,-0.00032303419,0.00024766292,-0.00044793471
0.3499655,-0.00010672598,0.35007226,-9.7544396e-05,-0.00025581477,-0.00032786771,0.00026037247,-0.00044797923
0.3499661,-0.0001083019,0.3500747,-9.7735102e-05,-0.00025134699,-0.00033270863,0.00027328516,-0.0004477896
0.34996673,-0.00010987974,0.35007718,-9.7881362e-05,-0.00024667272,-0.0003375554,0.00028639851,-0.00044736047
0.34996739,-0.00011145898,0.35007968,-9.7982081e-05,-0.00024179001,-0.00034240645,0.00029970991,-0.00044668651
0.34996808,-0.0001130391,0.35008222,-9.8036168e-05,-0.00023669697,-0.00034726016,0.00031321659,-0.00044576239
0.34996879,-0.00011461956,0.35008478,-9.8042536e-05,-0.00023139177,-0.00035211491,0.00032691559,-0.00044458282
0.34996954,-0.00011619983,0.35008737,-9.8000098e-05,-0.00022587265,-0.00035696903,0.00034080383,-0.00044314256
0.34997031,-0.00011777935,0.35008999,-9.7907775e-05,-0.0002201379,-0.00036182083,0.00035487805,-0.00044143636
0.34997111,-0.00011935757,0.35009264,-9.7764489e-05,-0.00021418588,-0.0003666686,0.00036913482,-0.00043945904
0.34997194,-0.00012093392,0.35009531,-9.7569169e-05,-0.00020801502,-0.00037151059,0.00038357055,-0.00043720546
0.3499728,-0.00012250782,0.35009801,-9.732075e-05,-0.00020162382,-0.00037634503,0.00039818149,-0.00043467049
0.34997369,-0.00012407869,0.35010074,-9.7018174e-05,-0.00019501083,-0.00038117012,0.00041296373,-0.00043184907
0.34997462,-0.00012564594,0.35010348,-9.6660389e-05,-0.00018817469,-0.00038598405,0.00042791318,-0.0004287362
0.34997557,-0.00012720896,0.35010625,-9.6246351e-05,-0.00018111413,-0.00039078497,0.00044302559,-0.00042532691
0.34997655,-0.00012876715,0.35010905,-9.5775027e-05,-0.00017382791,-0.000395571,0.00045829653,-0.0004216163
0.34997756,-0.00013031988,0.35011186,-9.524539e-05,-0.0001663149,-0.00040034025,0.00047372142,-0.00041759953
0.34997861,-0.00013186654,0.35011469,-9.4656426e-05,-0.00015857405,-0.0004050908,0.0004892955,-0.00041327182
0.34997968,-0.00013340649,0.35011755,-9.4007129e-05,-0.00015060438,-0.0004098207,0.00050501383,-0.00040862845
0.34998079,-0.00013493909,0.35012042,-9.3296507e-05,-0.000142405,-0.00041452798,0.00052087133,-0.00040366479
0.34998192,-0.0001364637,0.35012331,-9.2523578e-05,-0.00013397508,-0.00041921066,0.00053686271,-0.00039837628
0.34998309,-0.00013797965,0.35012621,-9.1687375e-05,-0.00012531391,-0.00042386672,0.00055298253,-0.00039275842
0.34998429,-0.00013948628,0.35012913,-9.0786942e-05,-0.00011642085,-0.00042849412,0.00056922519,-0.0003868068
0.34998552,-0.00014098294,0.35013206,-8.9821341e-05,-0.00010729534,-0.00043309081,0.00058558489,-0.00038051713
0.34998678,-0.00014246893,0.35013501,-8.8789646e-05,-9.7936947e-05,-0.00043765472,0.00060205568,-0.00037388516
0.34998807,-0.00014394358,0.35013797,-8.7690949e-05,-8.8345287e-05,-0.00044218375,0.00061863143,-0.00036690676
0.3499894,-0.0001454062,0.35014094,-8.6524356e-05,-7.8520095e-05,-0.00044667577,0.00063530585,-0.0003595779
0.34999075,-0.00014685609,0.35014391,-8.5288992e-05,-6.8461197e-05,-0.00045112866,0.00065207245,-0.00035189464
0.34999214,-0.00014829256,0.3501469,-8.3984002e-05,-5.8168516e-05,-0.00045554026,0.00066892461,-0.00034385315
0.34999356,-0.00014971489,0.35014989,-8.2608546e-05,-4.7642074e-05,-0.0004599084,0.0006858555,-0.00033544972
0.34999501,-0.00015112238,0.35015288,-8.1161806e-05,-3.6881996e-05,-0.0004642309,0.00070285815,-0.00032668073
0.34999649,-0.00015251431,0.35015588,-7.9642986e-05,-2.5888507e-05,-0.00046850554,0.0007199254,-0.00031754269
0.34999801,-0.00015388995,0.35015888,-7.8051307e-05,-1.4661937e-05,-0.00047273011,0.00073704994,-0.00030803224
0.34999955,-0.00015524857,0.35016188,-7.6386015e-05,-3.2027209e-06,-0.00047690237,0.00075422427,-0.00029814613
0.35000113,-0.00015658945,0.35016488,-7.4646378e-05,8.4885978e-06,-0.00048102007,0.00077144075,-0.00028788124
0.35000274,-0.00015791185,0.35016788,-7.2831689e-05,2.0411368e-05,-0.00048508095,0.00078869154,-0.0002772346
0.35000437,-0.00015921502,0.35017087,-7.0941262e-05,3.2564829e-05,-0.00048908274,0.00080596867,-0.00026620334
0.35000604,-0.00016049823,0.35017386,-6.8974439e-05,4.4948108e-05,-0.00049302314,0.00082326399,-0.00025478477
0.35000774,-0.00016176072,0.35017685,-6.6930586e-05,5.7560218e-05,-0.00049689987,0.00084056917,-0.00024297633
0.35000948,-0.00016300174,0.35017982,-6.4809098e-05,7.0400061e-05,-0.0005007106,0.00085787576,-0.00023077559
0.35001124,-0.00016422055,0.35018278,-6.2609396e-05,8.3466421e-05,-0.00050445303,0.00087517511,-0.00021818029
0.35001303,-0.00016541637,0.35018574,-6.0330928e-05,9.6757963e-05,-0.00050812482,0.00089245843,-0.00020518833
0.35001485,-0.00016658845,0.35018867,-5.7973173e-05,0.00011027324,-0.00051172365,0.00090971677,-0.00019179776
0.3500167,-0.00016773603,0.3501916,-5.5535639e-05,0.00012401068,-0.00051524716,0.00092694104,-0.0001780068
0.35001859,-0.00016885835,0.3501945,-5.3017864e-05,0.00013796858,-0.00051869302,0.00094412196,-0.00016381382
0.3500205,-0.00016995463,0.35019739,-5.041942e-05,0.00015214515,-0.00052205887,0.00096125015,-0.00014921738
0.35002244,-0.00017102412,0.35020026,-4.7739907e-05,0.00016653843,-0.00052534235,0.00097831603,-0.00013421621
0.35002441,-0.00017206604,0.3502031,-4.4978961e-05,0.00018114637,-0.00052854112,0.00099530992,-0.00011880921
