eV_LT,dW_LT,eV_WNL,dW_WNL,eV_UR,dW_UR
0.011530052,0.59759708,1.8673357,0.77429182,1770.7086,0.76331377
0.011867591,0.60238949,1.9220015,0.77841052,1822.5456,0.76744337
0.012215012,0.60720297,1.9782677,0.78251997,1875.9002,0.77156965
0.012572604,0.61203712,2.036181,0.78661964,1930.8168,0.77569203
0.012940664,0.6168915,2.0957898,0.7907089,1987.341,0.77980975
0.013319499,0.62176565,2.1571435,0.79478714,2045.52,0.78392217
0.013709424,0.6266591,2.2202934,0.7988538,2105.4021,0.78802858
0.014110765,0.63157135,2.285292,0.80290825,2167.0373,0.79212831
0.014523854,0.63650189,2.3521934,0.80694984,2230.4768,0.79622062
0.014949037,0.64145017,2.4210533,0.81097793,2295.7735,0.80030477
0.015386666,0.64641566,2.4919291,0.81499186,2362.9818,0.80437998
0.015837108,0.65139776,2.5648798,0.81899094,2432.1575,0.80844549
0.016300735,0.65639587,2.6399661,0.82297448,2503.3584,0.81250052
0.016777936,0.66140937,2.7172505,0.82694179,2576.6436,0.81654425
0.017269106,0.66643762,2.7967973,0.83089216,2652.0743,0.8205758
0.017774655,0.67147993,2.878673,0.83482486,2729.7131,0.82459434
0.018295004,0.67653562,2.9629454,0.83873914,2809.6249,0.82859902
0.018830586,0.68160397,3.049685,0.84263425,2891.876,0.83258897
0.019381847,0.68668422,3.1389638,0.84650939,2976.535,0.83656329
0.019949246,0.69177559,3.2308563,0.85036377,3063.6724,0.84052105
0.020533256,0.69687731,3.3254389,0.85419654,3153.3607,0.84446132
0.021134362,0.70198854,3.4227903,0.85800683,3245.6746,0.84838312
0.021753066,0.70710842,3.5229917,0.86179387,3340.691,0.85228548
0.022389882,0.71223606,3.6261265,0.86555674,3438.489,0.8561674
0.023045341,0.71737055,3.7322806,0.86929458,3539.15,0.86002787
0.023719988,0.72251097,3.8415422,0.87300645,3642.7578,0.86386586
0.024414385,0.72765628,3.9540025,0.87669136,3749.3987,0.86768024
0.025129111,0.73280547,4.069755,0.88034837,3859.1615,0.87146988
0.02586476,0.73795752,4.1888962,0.88397652,3972.1375,0.87523377
0.026621945,0.74311139,4.3115252,0.88757482,4088.421,0.87897077
0.027401296,0.74826597,4.4377441,0.89114224,4208.1085,0.88267971
0.028203463,0.75342011,4.567658,0.89467774,4331.3,0.88635946
0.029029113,0.75857266,4.7013752,0.8981802,4458.0978,0.89000882
0.029878933,0.76372242,4.8390069,0.90164856,4588.6076,0.89362655
0.030753632,0.76886816,4.9806677,0.90508174,4722.938,0.89721137
0.031653938,0.77400857,5.1264756,0.90847858,4861.201,0.90076208
0.0325806,0.77914238,5.276552,0.91183791,5003.5115,0.90427739
0.033534389,0.78426821,5.4310219,0.91515853,5149.9882,0.90775599
0.034516101,0.78938469,5.5900138,0.91843924,5300.7529,0.91119648
0.035526552,0.79449039,5.7536602,0.92167878,5455.9312,0.91459756
0.036566584,0.79958386,5.9220973,0.9248759,5615.6524,0.91795783
0.037637062,0.80466356,6.0954653,0.92802929,5780.0493,0.92127589
0.038738878,0.80972796,6.2739087,0.93113761,5949.259,0.9245503
0.03987295,0.81477548,6.4575759,0.93419957,6123.4222,0.92777964
0.041040222,0.81980448,6.64662,0.93721377,6302.684,0.93096234
0.042241665,0.8248133,6.8411983,0.94017873,6487.1936,0.93409693
0.04347828,0.82980021,7.0414728,0.94309309,6677.1047,0.93718183
0.044751097,0.83476343,7.2476103,0.9459554,6872.5754,0.94021553
0.046061175,0.8397012,7.4597824,0.94876415,7073.7685,0.9431964
0.047409605,0.84461164,7.6781659,0.95151783,7280.8515,0.94612283
0.048797511,0.84949287,7.9029424,0.95421491,7493.9968,0.9489932
0.050226047,0.85434294,8.1342993,0.95685382,7713.3818,0.9518058
0.051696403,0.85915985,8.372429,0.95943295,7939.1893,0.95455899
0.053209803,0.86394157,8.61753,0.96195063,8171.6073,0.95725098
0.054767508,0.86868603,8.8698062,0.96440523,8410.8292,0.95988003
0.056370815,0.87339108,9.1294678,0.96679504,8657.0543,0.96244436
0.058021057,0.87805454,9.3967309,0.96911838,8910.4876,0.9649422
0.059719611,0.88267419,9.671818,0.97137351,9171.3401,0.96737169
