theta,q3_over_t,dq3
1.8275229,-0.028307254,0.94958317
1.8313178,-0.028034917,0.94995483
1.8351126,-0.02776532,0.95032382
1.8389074,-0.027498434,0.95069016
1.8427023,-0.027234231,0.95105386
1.8464971,-0.026972683,0.95141495
1.8502919,-0.02671376,0.95177344
1.8540867,-0.026457435,0.95212935
1.8578816,-0.026203681,0.9524827
1.8616764,-0.02595247,0.9528335
1.8654712,-0.025703776,0.95318178
1.8692661,-0.025457571,0.95352754
1.8730609,-0.025213829,0.95387081
1.8768557,-0.024972524,0.9542116
1.8806505,-0.024733631,0.95454994
1.8844454,-0.024497124,0.95488583
1.8882402,-0.024262978,0.9552193
1.892035,-0.024031168,0.95555036
1.8958299,-0.02380167,0.95587903
1.8996247,-0.023574458,0.95620532
1.9034195,-0.02334951,0.95652925
1.9072143,-0.023126801,0.95685084
1.9110092,-0.022906307,0.9571701
1.914804,-0.022688007,0.95748705
1.9185988,-0.022471875,0.9578017
1.9223937,-0.022257891,0.95811408
1.9261885,-0.02204603,0.95842419
1.9299833,-0.021836272,0.95873206
1.9337781,-0.021628594,0.95903769
1.937573,-0.021422975,0.95934111
1.9413678,-0.021219392,0.95964232
1.9451626,-0.021017825,0.95994135
1.9489575,-0.020818252,0.96023821
1.9527523,-0.020620653,0.96053292
1.9565471,-0.020425008,0.96082548
1.960342,-0.020231296,0.96111592
1.9641368,-0.020039496,0.96140424
1.9679316,-0.01984959,0.96169047
1.9717264,-0.019661557,0.96197462
1.9755213,-0.019475377,0.9622567
1.9793161,-0.019291033,0.96253673
1.9831109,-0.019108504,0.96281472
1.9869058,-0.018927772,0.96309069
1.9907006,-0.018748819,0.96336464
1.9944954,-0.018571625,0.96363661
1.9982902,-0.018396173,0.96390658
2.0020851,-0.018222445,0.9641746
2.0058799,-0.018050422,0.96444065
2.0096747,-0.017880088,0.96470477
2.0134696,-0.017711425,0.96496696
2.0172644,-0.017544416,0.96522724
2.0210592,-0.017379044,0.96548561
2.024854,-0.017215291,0.96574211
2.0286489,-0.017053142,0.96599672
2.0324437,-0.016892579,0.96624948
2.0362385,-0.016733587,0.96650039
2.0400334,-0.016576149,0.96674947
2.0438282,-0.01642025,0.96699673
2.047623,-0.016265873,0.96724217
2.0514178,-0.016113004,0.96748583
2.0552127,-0.015961626,0.9677277
2.0590075,-0.015811724,0.9679678
2.0628023,-0.015663284,0.96820614
2.0665972,-0.01551629,0.96844274
2.070392,-0.015370728,0.9686776
2.0741868,-0.015226582,0.96891075
2.0779817,-0.01508384,0.96914219
2.0817765,-0.014942485,0.96937193
2.0855713,-0.014802505,0.96959998
2.0893661,-0.014663885,0.96982637
2.093161,-0.014526611,0.97005109
2.0969558,-0.01439067,0.97027417
2.1007506,-0.014256048,0.97049561
2.1045455,-0.014122731,0.97071542
2.1083403,-0.013990707,0.97093362
2.1121351,-0.013859963,0.97115022
2.1159299,-0.013730484,0.97136523
2.1197248,-0.01360226,0.97157866
2.1235196,-0.013475276,0.97179052
2.1273144,-0.01334952,0.97200082
2.1311093,-0.013224981,0.97220958
2.1349041,-0.013101645,0.97241681
2.1386989,-0.0129795,0.9726225
2.1424937,-0.012858535,0.97282669
2.1462886,-0.012738737,0.97302938
2.1500834,-0.012620095,0.97323057
2.1538782,-0.012502597,0.97343028
2.1576731,-0.012386232,0.97362853
2.1614679,-0.012270987,0.97382531
2.1652627,-0.012156853,0.97402064
2.1690575,-0.012043818,0.97421454
2.1728524,-0.01193187,0.97440701
2.1766472,-0.011820999,0.97459806
2.180442,-0.011711194,0.9747877
2.1842369,-0.011602444,0.97497594
2.1880317,-0.011494739,0.9751628
2.1918265,-0.011388068,0.97534827
2.1956214,-0.011282421,0.97553238
2.1994162,-0.011177787,0.97571513
2.203211,-0.011074157,0.97589654
2.2070058,-0.01097152,0.9760766
2.2108007,-0.010869867,0.97625534
2.2145955,-0.010769188,0.97643275
2.2183903,-0.010669473,0.97660886
2.2221852,-0.010570712,0.97678367
2.22598,-0.010472895,0.97695718
2.2297748,-0.010376014,0.97712941
2.2335696,-0.01028006,0.97730037
2.2373645,-0.010185022,0.97747007
2.2411593,-0.010090892,0.97763851
2.2449541,-0.0099976603,0.97780571
2.248749,-0.0099053186,0.97797167
2.2525438,-0.0098138579,0.97813641
2.2563386,-0.0097232694,0.97829992
2.2601334,-0.0096335444,0.97846223
2.2639283,-0.0095446744,0.97862333
2.2677231,-0.0094566509,0.97878324
2.2715179,-0.0093694654,0.97894197
2.2753128,-0.0092831098,0.97909953
2.2791076,-0.0091975757,0.97925592
2.2829024,-0.0091128551,0.97941115
2.2866972,-0.0090289399,0.97956523
2.2904921,-0.0089458221,0.97971817
